id,payment_method,description
5693,Cash,Organization near next.
4077,Cash,Reflect bring measure himself keep.
8610,Online Payment Gateway,Argue particularly admit activity green out.
5093,POS (Nomba),View kid world beautiful.
478,Online Payment Gateway,Stay view have allow.
2663,POS (Nomba),Wait step threat need line matter develop.
6799,Online Payment Gateway,Continue tax authority want.
540,Cash,Skin PM others so mention radio.
6122,Online Payment Gateway,Entire perform police material garden.
2566,Cash,Discover east voice Congress.
384,Cash,Manager then leg would list take sort left.
8897,Online Payment Gateway,Similar sell mission lose indicate role article.
2644,POS (Nomba),Southern gas morning mother guess whom.
4546,POS (Nomba),Be why fine building edge.
4223,Cash,Black present sound expect.
3692,Online Payment Gateway,List mother wait.
2695,POS (Nomba),Grow must short picture security operation guy.
6009,Online Payment Gateway,Do box reflect hold country red president much.
5794,POS (Nomba),Fall interest personal prove both wide.
9044,POS (Nomba),Nature natural green but old.
